Ra: Va                    Vw
10060: 7.225957            0.618339
10070: 7.221145            0.618954
10080: 7.216339            0.619569
10090: 7.211540            0.620183
10100: 7.206749            0.620798
10110: 7.201965            0.621413
10120: 7.197187            0.622027
10130: 7.192418            0.622642
10140: 7.187654            0.623257
10150: 7.182899            0.623871
10160: 7.178150            0.624486
10170: 7.173408            0.625101
10180: 7.168673            0.625715
10190: 7.163945            0.626330
10200: 7.159224            0.626944
10210: 7.154510            0.627559
10220: 7.149803            0.628174
10230: 7.145103            0.628788
10240: 7.140410            0.629403
10250: 7.135724            0.630018
10260: 7.131044            0.630632
10270: 7.126371            0.631247
10280: 7.121706            0.631862
10290: 7.117047            0.632476
10300: 7.112395            0.633091
10310: 7.107750            0.633706
10320: 7.103111            0.634320
10330: 7.098480            0.634935
10340: 7.093854            0.635550
10350: 7.089237            0.636164
10360: 7.084625            0.636779
10370: 7.080020            0.637394
10380: 7.075422            0.638008
10390: 7.070830            0.638623
10400: 7.066246            0.639238
10410: 7.061667            0.639852
10420: 7.057096            0.640467
10430: 7.052530            0.641082
10440: 7.047973            0.641696
10450: 7.043420            0.642311
10460: 7.038875            0.642925
10470: 7.034337            0.643540
10480: 7.029804            0.644155
10490: 7.025278            0.644769
10500: 7.020759            0.645384
10510: 7.016247            0.645999
10520: 7.011740            0.646613
10530: 7.007240            0.647228
10540: 7.002747            0.647843
10550: 6.998260            0.648457
10560: 6.993780            0.649072
10570: 6.989305            0.649687
10580: 6.984838            0.650301
10590: 6.980376            0.650916
10600: 6.975921            0.651531
10610: 6.971473            0.652145
10620: 6.967030            0.652760
10630: 6.962594            0.653375
10640: 6.958164            0.653989
10650: 6.953741            0.654604
10660: 6.949323            0.655218
10670: 6.944912            0.655833
10680: 6.940507            0.656448
10690: 6.936109            0.657062
10700: 6.931716            0.657677
10710: 6.927330            0.658292
10720: 6.922950            0.658906
10730: 6.918576            0.659521
10740: 6.914209            0.660136
10750: 6.909847            0.660750
10760: 6.905491            0.661365
10770: 6.901142            0.661980
10780: 6.896799            0.662594
10790: 6.892462            0.663209
10800: 6.888130            0.663824
10810: 6.883805            0.664438
10820: 6.879486            0.665053
10830: 6.875174            0.665668
10840: 6.870866            0.666282
10850: 6.866565            0.666897
10860: 6.862270            0.667512
10870: 6.857981            0.668126
10880: 6.853698            0.668741
10890: 6.849421            0.669355
10900: 6.845150            0.669970
10910: 6.840884            0.670585
10920: 6.836625            0.671199
10930: 6.832371            0.671814
10940: 6.828123            0.672429
10950: 6.823882            0.673043
10960: 6.819645            0.673658
10970: 6.815415            0.674273
10980: 6.811191            0.674887
10990: 6.806973            0.675502
11000: 6.802760            0.676117
11010: 6.798553            0.676731
11020: 6.794352            0.677346
11030: 6.790156            0.677961
11040: 6.785966            0.678575
11050: 6.781783            0.679190
11060: 6.777605            0.679805
11070: 6.773432            0.680419
11080: 6.769265            0.681034
11090: 6.765104            0.681648
11100: 6.760948            0.682263
11110: 6.756799            0.682878
11120: 6.752655            0.683492
11130: 6.748516            0.684107
11140: 6.744383            0.684722
11150: 6.740256            0.685336
11160: 6.736134            0.685951
11170: 6.732018            0.686566
11180: 6.727908            0.687180
11190: 6.723803            0.687795
11200: 6.719703            0.688410
11210: 6.715609            0.689024
11220: 6.711521            0.689639
11230: 6.707438            0.690254
11240: 6.703360            0.690868
11250: 6.699288            0.691483
11260: 6.695222            0.692098
11270: 6.691161            0.692712
11280: 6.687106            0.693327
11290: 6.683055            0.693942
11300: 6.679011            0.694556
11310: 6.674972            0.695171
11320: 6.670938            0.695786
11330: 6.666910            0.696400
11340: 6.662887            0.697015
11350: 6.658869            0.697629
11360: 6.654856            0.698244
11370: 6.650850            0.698859
11380: 6.646848            0.699473
11390: 6.642851            0.700088
11400: 6.638860            0.700703
11410: 6.634874            0.701317
11420: 6.630895            0.701932
11430: 6.626919            0.702547
11440: 6.622949            0.703161
11450: 6.618985            0.703776
11460: 6.615026            0.704391
11470: 6.611071            0.705005
11480: 6.607122            0.705620
11490: 6.603179            0.706235
11500: 6.599240            0.706849
11510: 6.595307            0.707464
11520: 6.591379            0.708079
11530: 6.587455            0.708693
11540: 6.583538            0.709308
11550: 6.579625            0.709922
11560: 6.575717            0.710537
11570: 6.571815            0.711152
11580: 6.567918            0.711766
11590: 6.564025            0.712381
11600: 6.560138            0.712996
11610: 6.556256            0.713610
11620: 6.552379            0.714225
11630: 6.548507            0.714840
11640: 6.544641            0.715454
11650: 6.540779            0.716069
11660: 6.536922            0.716684
11670: 6.533070            0.717298
11680: 6.529222            0.717913
11690: 6.525381            0.718528
11700: 6.521544            0.719142
11710: 6.517713            0.719757
11720: 6.513885            0.720372
11730: 6.510064            0.720986
11740: 6.506247            0.721601
11750: 6.502434            0.722216
11760: 6.498628            0.722830
11770: 6.494825            0.723445
11780: 6.491028            0.724059
11790: 6.487235            0.724674
11800: 6.483448            0.725289
11810: 6.479665            0.725903
11820: 6.475887            0.726518
11830: 6.472114            0.727133
11840: 6.468346            0.727747
11850: 6.464582            0.728362
11860: 6.460824            0.728977
11870: 6.457070            0.729591
11880: 6.453321            0.730206
11890: 6.449577            0.730821
11900: 6.445838            0.731435
11910: 6.442103            0.732050
11920: 6.438374            0.732665
11930: 6.434649            0.733279
11940: 6.430929            0.733894
11950: 6.427213            0.734509
11960: 6.423502            0.735123
11970: 6.419796            0.735738
11980: 6.416094            0.736353
11990: 6.412397            0.736967
12000: 6.408706            0.737582
12010: 6.405018            0.738196
12020: 6.401336            0.738811
12030: 6.397658            0.739426
12040: 6.393984            0.740040
12050: 6.390315            0.740655
12060: 6.386651            0.741270
12070: 6.382991            0.741884
12080: 6.379337            0.742499
12090: 6.375686            0.743114
12100: 6.372040            0.743728
12110: 6.368400            0.744343
12120: 6.364763            0.744958
12130: 6.361131            0.745572
12140: 6.357503            0.746187
12150: 6.353880            0.746802
12160: 6.350262            0.747416
12170: 6.346648            0.748031
12180: 6.343039            0.748646
12190: 6.339434            0.749260
12200: 6.335834            0.749875
12210: 6.332238            0.750489
12220: 6.328646            0.751104
12230: 6.325059            0.751719
12240: 6.321477            0.752333
12250: 6.317899            0.752948
12260: 6.314325            0.753563
12270: 6.310756            0.754177
12280: 6.307191            0.754792
12290: 6.303631            0.755407
12300: 6.300075            0.756021
12310: 6.296524            0.756636
12320: 6.292977            0.757251
12330: 6.289434            0.757865
12340: 6.285896            0.758480
12350: 6.282362            0.759095
12360: 6.278832            0.759709
12370: 6.275307            0.760324
12380: 6.271786            0.760939
12390: 6.268269            0.761553
12400: 6.264757            0.762168
12410: 6.261250            0.762783
12420: 6.257745            0.763397
12430: 6.254246            0.764012
12440: 6.250751            0.764627
12450: 6.247260            0.765241
12460: 6.243774            0.765856
12470: 6.240292            0.766470
12480: 6.236814            0.767085
12490: 6.233340            0.767700
12500: 6.229870            0.768314
12510: 6.226405            0.768929
12520: 6.222944            0.769544
12530: 6.219487            0.770158
12540: 6.216034            0.770773
12550: 6.212586            0.771388
12560: 6.209141            0.772002
12570: 6.205701            0.772617
12580: 6.202266            0.773232
12590: 6.198834            0.773846
12600: 6.195406            0.774461
12610: 6.191983            0.775076
12620: 6.188563            0.775690
12630: 6.185148            0.776305
12640: 6.181737            0.776919
12650: 6.178330            0.777534
12660: 6.174928            0.778149
12670: 6.171528            0.778763
12680: 6.168134            0.779378
12690: 6.164743            0.779993
12700: 6.161357            0.780607
12710: 6.157975            0.781222
12720: 6.154596            0.781837
12730: 6.151222            0.782451
12740: 6.147851            0.783066
12750: 6.144485            0.783681
12760: 6.141123            0.784295
12770: 6.137765            0.784910
12780: 6.134411            0.785525
12790: 6.131060            0.786139
12800: 6.127715            0.786754
12810: 6.124372            0.787369
12820: 6.121034            0.787983
12830: 6.117700            0.788598
12840: 6.114369            0.789213
12850: 6.111043            0.789827
12860: 6.107721            0.790442
12870: 6.104403            0.791057
12880: 6.101088            0.791671
12890: 6.097778            0.792286
12900: 6.094471            0.792900
12910: 6.091168            0.793515
12920: 6.087869            0.794130
12930: 6.084575            0.794744
12940: 6.081284            0.795359
12950: 6.077996            0.795974
12960: 6.074713            0.796588
12970: 6.071434            0.797203
12980: 6.068159            0.797818
12990: 6.064887            0.798432
13000: 6.061619            0.799047
13010: 6.058355            0.799662
13020: 6.055095            0.800276
13030: 6.051838            0.800891
13040: 6.048586            0.801506
13050: 6.045337            0.802120
13060: 6.042092            0.802735
13070: 6.038852            0.803350
13080: 6.035614            0.803964
13090: 6.032381            0.804579
13100: 6.029151            0.805193
13110: 6.025925            0.805808
13120: 6.022703            0.806423
13130: 6.019485            0.807037
13140: 6.016270            0.807652
13150: 6.013059            0.808267
13160: 6.009851            0.808881
13170: 6.006648            0.809496
13180: 6.003448            0.810111
13190: 6.000252            0.810725
13200: 5.997060            0.811340
13210: 5.993871            0.811955
13220: 5.990686            0.812569
13230: 5.987505            0.813184
13240: 5.984328            0.813799
13250: 5.981154            0.814413
13260: 5.977984            0.815028
13270: 5.974817            0.815643
13280: 5.971654            0.816257
13290: 5.968495            0.816872
13300: 5.965339            0.817487
13310: 5.962187            0.818101
13320: 5.959039            0.818716
13330: 5.955894            0.819330
13340: 5.952753            0.819945
13350: 5.949615            0.820560
13360: 5.946481            0.821174
13370: 5.943351            0.821789
13380: 5.940225            0.822404
13390: 5.937101            0.823018
13400: 5.933981            0.823633
13410: 5.930865            0.824248
13420: 5.927753            0.824862
13430: 5.924644            0.825477
13440: 5.921538            0.826092
13450: 5.918437            0.826706
13460: 5.915338            0.827321
13470: 5.912243            0.827936
13480: 5.909152            0.828550
13490: 5.906065            0.829165
13500: 5.902980            0.829780
13510: 5.899899            0.830394
13520: 5.896822            0.831009
13530: 5.893748            0.831623
13540: 5.890678            0.832238
13550: 5.887611            0.832853
13560: 5.884548            0.833467
13570: 5.881488            0.834082
13580: 5.878432            0.834697
13590: 5.875379            0.835311
13600: 5.872329            0.835926
13610: 5.869283            0.836541
13620: 5.866241            0.837155
13630: 5.863202            0.837770
13640: 5.860166            0.838385
13650: 5.857133            0.838999
13660: 5.854104            0.839614
13670: 5.851079            0.840229
13680: 5.848056            0.840843
13690: 5.845038            0.841458
13700: 5.842022            0.842073
13710: 5.839010            0.842687
13720: 5.836001            0.843302
13730: 5.832996            0.843917
13740: 5.829994            0.844531
13750: 5.826996            0.845146
13760: 5.824000            0.845760
13770: 5.821009            0.846375
13780: 5.818020            0.846990
13790: 5.815035            0.847604
13800: 5.812053            0.848219
13810: 5.809074            0.848834
13820: 5.806099            0.849448
13830: 5.803127            0.850063
13840: 5.800159            0.850678
13850: 5.797193            0.851292
13860: 5.794231            0.851907
13870: 5.791272            0.852522
13880: 5.788316            0.853136
13890: 5.785364            0.853751
13900: 5.782415            0.854366
13910: 5.779469            0.854980
13920: 5.776527            0.855595
13930: 5.773588            0.856210
13940: 5.770651            0.856824
13950: 5.767719            0.857439
13960: 5.764789            0.858054
13970: 5.761863            0.858668
13980: 5.758940            0.859283
13990: 5.756020            0.859897
14000: 5.753103            0.860512
14010: 5.750190            0.861127
14020: 5.747280            0.861741
14030: 5.744372            0.862356
14040: 5.741468            0.862971
14050: 5.738568            0.863585
14060: 5.735671            0.864200
14070: 5.732776            0.864815
14080: 5.729885            0.865429
14090: 5.726997            0.866044
14100: 5.724112            0.866659
14110: 5.721230            0.867273
14120: 5.718351            0.867888
14130: 5.715476            0.868503
14140: 5.712604            0.869117
14150: 5.709734            0.869732
14160: 5.706869            0.870347
14170: 5.704005            0.870961
14180: 5.701146            0.871576
14190: 5.698288            0.872191
14200: 5.695435            0.872805
14210: 5.692584            0.873420
14220: 5.689737            0.874034
14230: 5.686893            0.874649
14240: 5.684051            0.875264
14250: 5.681212            0.875878
14260: 5.678378            0.876493
14270: 5.675545            0.877108
14280: 5.672716            0.877722
14290: 5.669890            0.878337
14300: 5.667068            0.878952
14310: 5.664248            0.879566
14320: 5.661430            0.880181
14330: 5.658617            0.880796
14340: 5.655806            0.881410
14350: 5.652998            0.882025
14360: 5.650193            0.882640
14370: 5.647391            0.883254
14380: 5.644592            0.883869
14390: 5.641797            0.884484
14400: 5.639004            0.885098
14410: 5.636214            0.885713
14420: 5.633427            0.886327
14430: 5.630643            0.886942
14440: 5.627862            0.887557
14450: 5.625084            0.888171
14460: 5.622309            0.888786
14470: 5.619537            0.889401
14480: 5.616768            0.890015
14490: 5.614002            0.890630
14500: 5.611238            0.891245
14510: 5.608479            0.891859
14520: 5.605721            0.892474
14530: 5.602967            0.893089
14540: 5.600215            0.893703
14550: 5.597467            0.894318
14560: 5.594721            0.894933
14570: 5.591979            0.895547
14580: 5.589239            0.896162
14590: 5.586502            0.896777
14600: 5.583767            0.897391
14610: 5.581036            0.898006
14620: 5.578308            0.898621
14630: 5.575583            0.899235
14640: 5.572860            0.899850
14650: 5.570140            0.900464
14660: 5.567424            0.901079
14670: 5.564710            0.901694
14680: 5.561999            0.902308
14690: 5.559290            0.902923
14700: 5.556585            0.903538
14710: 5.553883            0.904152
14720: 5.551183            0.904767
14730: 5.548486            0.905382
14740: 5.545792            0.905996
14750: 5.543101            0.906611
14760: 5.540412            0.907226
14770: 5.537727            0.907840
14780: 5.535044            0.908455
14790: 5.532364            0.909070
14800: 5.529687            0.909684
14810: 5.527012            0.910299
14820: 5.524341            0.910914
14830: 5.521672            0.911528
14840: 5.519006            0.912143
14850: 5.516343            0.912757
14860: 5.513682            0.913372
14870: 5.511024            0.913987
14880: 5.508369            0.914602
14890: 5.505717            0.915216
14900: 5.503068            0.915831
14910: 5.500421            0.916445
14920: 5.497777            0.917060
14930: 5.495136            0.917675
14940: 5.492497            0.918289
14950: 5.489861            0.918904
14960: 5.487228            0.919519
14970: 5.484598            0.920133
14980: 5.481970            0.920748
14990: 5.479346            0.921363
15000: 5.476723            0.921977
15010: 5.474104            0.922592
15020: 5.471487            0.923207
15030: 5.468873            0.923821
15040: 5.466262            0.924436
15050: 5.463653            0.925051
15060: 5.461047            0.925665
15070: 5.458444            0.926280
15080: 5.455843            0.926894
15090: 5.453245            0.927509
15100: 5.450649            0.928124
15110: 5.448057            0.928738
15120: 5.445467            0.929353
15130: 5.442879            0.929968
15140: 5.440294            0.930582
15150: 5.437712            0.931197
15160: 5.435133            0.931812
15170: 5.432556            0.932426
15180: 5.429982            0.933041
15190: 5.427410            0.933656
15200: 5.424841            0.934270
15210: 5.422275            0.934885
15220: 5.419711            0.935500
15230: 5.417150            0.936114
15240: 5.414591            0.936729
15250: 5.412035            0.937344
15260: 5.409482            0.937958
15270: 5.406931            0.938573
15280: 5.404383            0.939187
15290: 5.401837            0.939802
15300: 5.399294            0.940417
15310: 5.396754            0.941032
15320: 5.394216            0.941646
15330: 5.391681            0.942261
15340: 5.389148            0.942875
15350: 5.386618            0.943490
15360: 5.384090            0.944105
15370: 5.381565            0.944719
15380: 5.379043            0.945334
15390: 5.376523            0.945949
15400: 5.374005            0.946563
15410: 5.371490            0.947178
15420: 5.368978            0.947793
15430: 5.366468            0.948407
15440: 5.363960            0.949022
15450: 5.361455            0.949637
15460: 5.358953            0.950251
15470: 5.356453            0.950866
15480: 5.353956            0.951481
15490: 5.351461            0.952095
15500: 5.348969            0.952710
15510: 5.346479            0.953324
15520: 5.343992            0.953939
15530: 5.341507            0.954554
15540: 5.339025            0.955168
15550: 5.336545            0.955783
15560: 5.334067            0.956398
15570: 5.331593            0.957012
15580: 5.329120            0.957627
15590: 5.326650            0.958242
15600: 5.324182            0.958856
15610: 5.321717            0.959471
15620: 5.319254            0.960086
15630: 5.316794            0.960700
15640: 5.314336            0.961315
15650: 5.311881            0.961930
15660: 5.309428            0.962544
15670: 5.306978            0.963159
15680: 5.304530            0.963774
15690: 5.302084            0.964388
15700: 5.299641            0.965003
15710: 5.297200            0.965617
15720: 5.294762            0.966232
15730: 5.292325            0.966847
15740: 5.289892            0.967462
15750: 5.287461            0.968076
15760: 5.285032            0.968691
15770: 5.282606            0.969305
15780: 5.280181            0.969920
15790: 5.277760            0.970535
15800: 5.275341            0.971149
15810: 5.272924            0.971764
15820: 5.270509            0.972379
15830: 5.268097            0.972993
15840: 5.265687            0.973608
15850: 5.263280            0.974223
15860: 5.260875            0.974837
15870: 5.258472            0.975452
15880: 5.256072            0.976067
15890: 5.253674            0.976681
15900: 5.251278            0.977296
15910: 5.248885            0.977911
15920: 5.246494            0.978525
15930: 5.244105            0.979140
15940: 5.241719            0.979755
15950: 5.239336            0.980369
15960: 5.236954            0.980984
15970: 5.234574            0.981598
15980: 5.232197            0.982213
15990: 5.229823            0.982828
16000: 5.227450            0.983442
16010: 5.225080            0.984057
16020: 5.222713            0.984672
16030: 5.220347            0.985286
16040: 5.217984            0.985901
16050: 5.215623            0.986516
16060: 5.213264            0.987130
16070: 5.210908            0.987745
16080: 5.208554            0.988360
16090: 5.206202            0.988974
16100: 5.203853            0.989589
16110: 5.201506            0.990204
16120: 5.199161            0.990818
16130: 5.196818            0.991433
16140: 5.194478            0.992047
16150: 5.192139            0.992662
16160: 5.189804            0.993277
16170: 5.187470            0.993892
16180: 5.185138            0.994506
16190: 5.182809            0.995121
16200: 5.180482            0.995735
16210: 5.178157            0.996350
16220: 5.175835            0.996965
16230: 5.173514            0.997579
16240: 5.171196            0.998194
16250: 5.168880            0.998809
16260: 5.166567            0.999423
16270: 5.164256            1.000038
16280: 5.161947            1.000653
16290: 5.159640            1.001267
16300: 5.157335            1.001882
16310: 5.155032            1.002497
16320: 5.152732            1.003111
16330: 5.150434            1.003726
16340: 5.148138            1.004341
16350: 5.145844            1.004955
16360: 5.143552            1.005570
16370: 5.141263            1.006184
16380: 5.138976            1.006799
16390: 5.136691            1.007414
16400: 5.134408            1.008028
16410: 5.132127            1.008643
16420: 5.129848            1.009258
16430: 5.127572            1.009872
16440: 5.125298            1.010487
16450: 5.123026            1.011102
16460: 5.120756            1.011716
16470: 5.118488            1.012331
16480: 5.116222            1.012946
16490: 5.113959            1.013560
16500: 5.111698            1.014175
16510: 5.109438            1.014790
16520: 5.107182            1.015404
16530: 5.104927            1.016019
16540: 5.102674            1.016634
16550: 5.100423            1.017248
16560: 5.098174            1.017863
16570: 5.095928            1.018478
16580: 5.093684            1.019092
16590: 5.091441            1.019707
16600: 5.089201            1.020321
16610: 5.086963            1.020936
16620: 5.084727            1.021551
16630: 5.082493            1.022165
16640: 5.080262            1.022780
16650: 5.078032            1.023395
16660: 5.075805            1.024009
16670: 5.073579            1.024624
16680: 5.071355            1.025239
16690: 5.069134            1.025853
16700: 5.066915            1.026468
16710: 5.064698            1.027083
16720: 5.062483            1.027697
16730: 5.060270            1.028312
16740: 5.058059            1.028927
16750: 5.055850            1.029541
16760: 5.053643            1.030156
16770: 5.051438            1.030771
16780: 5.049236            1.031385
16790: 5.047035            1.032000
16800: 5.044836            1.032614
16810: 5.042640            1.033229
16820: 5.040445            1.033844
16830: 5.038253            1.034458
16840: 5.036062            1.035073
16850: 5.033874            1.035688
16860: 5.031687            1.036302
16870: 5.029503            1.036917
16880: 5.027320            1.037532
16890: 5.025140            1.038146
16900: 5.022962            1.038761
16910: 5.020786            1.039376
16920: 5.018611            1.039990
16930: 5.016439            1.040605
16940: 5.014269            1.041220
16950: 5.012101            1.041834
16960: 5.009934            1.042449
16970: 5.007770            1.043064
16980: 5.005608            1.043678
16990: 5.003448            1.044293
17000: 5.001289            1.044908
17010: 4.999133            1.045522
17020: 4.996978            1.046137
17030: 4.994826            1.046751
17040: 4.992676            1.047366
17050: 4.990527            1.047981
17060: 4.988380            1.048595
17070: 4.986236            1.049210
17080: 4.984094            1.049825
17090: 4.981953            1.050439
17100: 4.979815            1.051054
17110: 4.977678            1.051669
17120: 4.975543            1.052283
17130: 4.973410            1.052898
17140: 4.971280            1.053513
17150: 4.969151            1.054127
17160: 4.967024            1.054742
17170: 4.964899            1.055357
17180: 4.962776            1.055971
17190: 4.960655            1.056586
17200: 4.958535            1.057201
17210: 4.956418            1.057815
17220: 4.954303            1.058430
17230: 4.952189            1.059044
17240: 4.950078            1.059659
17250: 4.947968            1.060274
17260: 4.945860            1.060888
17270: 4.943755            1.061503
17280: 4.941651            1.062118
17290: 4.939549            1.062732
17300: 4.937449            1.063347
17310: 4.935351            1.063962
17320: 4.933255            1.064576
17330: 4.931160            1.065191
17340: 4.929068            1.065806
17350: 4.926977            1.066420
17360: 4.924889            1.067035
17370: 4.922802            1.067650
17380: 4.920717            1.068264
17390: 4.918634            1.068879
17400: 4.916553            1.069494
17410: 4.914474            1.070108
17420: 4.912396            1.070723
17430: 4.910321            1.071338
17440: 4.908247            1.071952
17450: 4.906175            1.072567
17460: 4.904105            1.073182
17470: 4.902037            1.073796
17480: 4.899971            1.074411
17490: 4.897906            1.075025
17500: 4.895844            1.075640
17510: 4.893783            1.076255
17520: 4.891724            1.076869
17530: 4.889667            1.077484
17540: 4.887612            1.078099
17550: 4.885559            1.078713
17560: 4.883507            1.079328
17570: 4.881458            1.079943
17580: 4.879410            1.080557
17590: 4.877364            1.081172
17600: 4.875320            1.081787
17610: 4.873277            1.082401
17620: 4.871237            1.083016
17630: 4.869198            1.083631
17640: 4.867161            1.084245
17650: 4.865126            1.084860
17660: 4.863093            1.085474
17670: 4.861061            1.086089
17680: 4.859031            1.086704
17690: 4.857004            1.087318
17700: 4.854978            1.087933
17710: 4.852953            1.088548
17720: 4.850931            1.089162
17730: 4.848910            1.089777
17740: 4.846891            1.090392
17750: 4.844874            1.091006
17760: 4.842859            1.091621
17770: 4.840845            1.092236
17780: 4.838833            1.092850
17790: 4.836823            1.093465
17800: 4.834815            1.094080
17810: 4.832808            1.094694
17820: 4.830804            1.095309
17830: 4.828801            1.095924
17840: 4.826800            1.096538
17850: 4.824800            1.097153
17860: 4.822803            1.097768
17870: 4.820807            1.098382
17880: 4.818812            1.098997
17890: 4.816820            1.099612
17900: 4.814829            1.100226
17910: 4.812840            1.100841
17920: 4.810853            1.101455
17930: 4.808868            1.102070
17940: 4.806884            1.102685
17950: 4.804903            1.103299
17960: 4.802922            1.103914
17970: 4.800944            1.104529
17980: 4.798967            1.105143
17990: 4.796992            1.105758
18000: 4.795019            1.106373
18010: 4.793047            1.106987
18020: 4.791077            1.107602
18030: 4.789109            1.108217
18040: 4.787143            1.108831
18050: 4.785178            1.109446
18060: 4.783215            1.110061
18070: 4.781254            1.110675
18080: 4.779294            1.111290
18090: 4.777337            1.111905
18100: 4.775380            1.112519
18110: 4.773426            1.113134
18120: 4.771473            1.113748
18130: 4.769522            1.114363
18140: 4.767572            1.114978
18150: 4.765625            1.115592
18160: 4.763679            1.116207
18170: 4.761734            1.116822
18180: 4.759792            1.117436
18190: 4.757851            1.118051
18200: 4.755911            1.118666
18210: 4.753974            1.119280
18220: 4.752038            1.119895
18230: 4.750103            1.120510
18240: 4.748171            1.121124
18250: 4.746240            1.121739
18260: 4.744311            1.122354
18270: 4.742383            1.122968
18280: 4.740457            1.123583
18290: 4.738533            1.124198
18300: 4.736610            1.124812
18310: 4.734689            1.125427
18320: 4.732770            1.126042
18330: 4.730853            1.126656
18340: 4.728936            1.127271
18350: 4.727022            1.127885
18360: 4.725109            1.128500
18370: 4.723198            1.129115
18380: 4.721289            1.129729
18390: 4.719381            1.130344
18400: 4.717475            1.130959
18410: 4.715570            1.131573
18420: 4.713667            1.132188
18430: 4.711766            1.132803
18440: 4.709866            1.133417
18450: 4.707968            1.134032
18460: 4.706071            1.134647
18470: 4.704177            1.135261
18480: 4.702283            1.135876
18490: 4.700392            1.136491
18500: 4.698502            1.137105
18510: 4.696614            1.137720
18520: 4.694727            1.138335
18530: 4.692842            1.138949
18540: 4.690958            1.139564
18550: 4.689076            1.140178
18560: 4.687196            1.140793
18570: 4.685317            1.141408
18580: 4.683440            1.142022
18590: 4.681564            1.142637
18600: 4.679690            1.143252
18610: 4.677818            1.143866
18620: 4.675947            1.144481
18630: 4.674078            1.145096
18640: 4.672210            1.145710
18650: 4.670344            1.146325
18660: 4.668479            1.146940
18670: 4.666617            1.147554
18680: 4.664756            1.148169
18690: 4.662896            1.148784
18700: 4.661037            1.149398
18710: 4.659181            1.150013
18720: 4.657326            1.150628
18730: 4.655472            1.151242
18740: 4.653620            1.151857
18750: 4.651770            1.152472
18760: 4.649921            1.153086
18770: 4.648074            1.153701
18780: 4.646228            1.154315
18790: 4.644384            1.154930
18800: 4.642541            1.155545
18810: 4.640700            1.156159
18820: 4.638861            1.156774
18830: 4.637022            1.157389
18840: 4.635186            1.158003
18850: 4.633351            1.158618
18860: 4.631518            1.159233
18870: 4.629686            1.159847
18880: 4.627856            1.160462
18890: 4.626027            1.161077
18900: 4.624200            1.161691
18910: 4.622374            1.162306
18920: 4.620550            1.162921
18930: 4.618727            1.163535
18940: 4.616906            1.164150
18950: 4.615086            1.164765
18960: 4.613268            1.165379
18970: 4.611451            1.165994
18980: 4.609636            1.166608
18990: 4.607823            1.167223
19000: 4.606010            1.167838
19010: 4.604200            1.168453
19020: 4.602391            1.169067
19030: 4.600584            1.169682
19040: 4.598777            1.170296
19050: 4.596973            1.170911
19060: 4.595170            1.171526
19070: 4.593368            1.172140
19080: 4.591568            1.172755
19090: 4.589769            1.173370
19100: 4.587972            1.173984
19110: 4.586177            1.174599
19120: 4.584383            1.175214
19130: 4.582590            1.175828
19140: 4.580799            1.176443
19150: 4.579009            1.177058
19160: 4.577221            1.177672
19170: 4.575434            1.178287
19180: 4.573649            1.178902
19190: 4.571865            1.179516
19200: 4.570083            1.180131
19210: 4.568302            1.180745
19220: 4.566523            1.181360
19230: 4.564744            1.181975
19240: 4.562968            1.182589
19250: 4.561193            1.183204
19260: 4.559420            1.183819
19270: 4.557647            1.184433
19280: 4.555877            1.185048
19290: 4.554108            1.185663
19300: 4.552340            1.186277
19310: 4.550573            1.186892
19320: 4.548809            1.187507
19330: 4.547045            1.188121
19340: 4.545283            1.188736
19350: 4.543523            1.189351
19360: 4.541764            1.189965
19370: 4.540006            1.190580
19380: 4.538250            1.191195
19390: 4.536495            1.191809
19400: 4.534741            1.192424
19410: 4.532990            1.193038
19420: 4.531239            1.193653
19430: 4.529490            1.194268
19440: 4.527743            1.194883
19450: 4.525997            1.195497
19460: 4.524251            1.196112
19470: 4.522508            1.196726
19480: 4.520766            1.197341
19490: 4.519026            1.197956
19500: 4.517287            1.198570
19510: 4.515549            1.199185
19520: 4.513813            1.199800
19530: 4.512078            1.200414
19540: 4.510344            1.201029
19550: 4.508612            1.201644
19560: 4.506882            1.202258
19570: 4.505152            1.202873
19580: 4.503424            1.203488
19590: 4.501698            1.204102
19600: 4.499973            1.204717
19610: 4.498249            1.205332
19620: 4.496527            1.205946
19630: 4.494806            1.206561
19640: 4.493086            1.207175
19650: 4.491368            1.207790
19660: 4.489651            1.208405
19670: 4.487936            1.209019
19680: 4.486222            1.209634
19690: 4.484509            1.210249
19700: 4.482799            1.210863
19710: 4.481088            1.211478
19720: 4.479380            1.212093
19730: 4.477673            1.212707
19740: 4.475967            1.213322
19750: 4.474263            1.213937
19760: 4.472559            1.214551
19770: 4.470858            1.215166
19780: 4.469158            1.215781
19790: 4.467459            1.216395
19800: 4.465762            1.217010
19810: 4.464066            1.217625
19820: 4.462371            1.218239
19830: 4.460677            1.218854
19840: 4.458985            1.219469
19850: 4.457294            1.220083
19860: 4.455605            1.220698
19870: 4.453917            1.221313
19880: 4.452230            1.221927
19890: 4.450545            1.222542
19900: 4.448861            1.223156
19910: 4.447178            1.223771
19920: 4.445497            1.224386
19930: 4.443817            1.225000
19940: 4.442138            1.225615
19950: 4.440461            1.226230
19960: 4.438785            1.226844
19970: 4.437110            1.227459
19980: 4.435437            1.228074
19990: 4.433765            1.228688
20000: 4.432094            1.229303
20010: 4.430425            1.229918
20020: 4.428757            1.230532
20030: 4.427090            1.231147
20040: 4.425425            1.231762
